date,mortgage_rate_30yr,case_shiller_home_price_index,cpi_rent_primary_residence,housing_starts_thousands
2022-03-10,3.85,,,
2022-03-17,4.16,,,
2022-03-24,4.42,,,
2022-03-31,4.67,,,
2022-04-01,,301.516,363.062,1820.0
2022-04-07,4.72,,,
2022-04-14,5.0,,,
2022-04-21,5.11,,,
2022-04-28,5.1,,,
2022-05-01,,306.276,365.376,1531.0
2022-05-05,5.27,,,
2022-05-12,5.3,,,
2022-05-19,5.25,,,
2022-05-26,5.1,,,
2022-06-01,,308.07,368.216,1551.0
2022-06-02,5.09,,,
2022-06-09,5.23,,,
2022-06-16,5.78,,,
2022-06-23,5.81,,,
2022-06-30,5.7,,,
2022-07-01,,306.905,370.916,1381.0
2022-07-07,5.3,,,
2022-07-14,5.51,,,
2022-07-21,5.54,,,
2022-07-28,5.3,,,
2022-08-01,,303.48,373.597,1531.0
2022-08-04,4.99,,,
2022-08-11,5.22,,,
2022-08-18,5.13,,,
2022-08-25,5.55,,,
2022-09-01,5.66,300.312,376.628,1488.0
2022-09-08,5.89,,,
2022-09-15,6.02,,,
2022-09-22,6.29,,,
2022-09-29,6.7,,,
2022-10-01,,298.526,379.291,1435.0
2022-10-06,6.66,,,
2022-10-13,6.92,,,
2022-10-20,6.94,,,
2022-10-27,7.08,,,
2022-11-01,,296.71,382.228,1424.0
2022-11-03,6.95,,,
2022-11-10,7.08,,,
2022-11-17,6.61,,,
2022-11-23,6.58,,,
2022-12-01,6.49,294.204,385.247,1308.0
2022-12-08,6.33,,,
2022-12-15,6.31,,,
2022-12-22,6.27,,,
2022-12-29,6.42,,,
2023-01-01,,292.698,387.984,1361.0
2023-01-05,6.48,,,
2023-01-12,6.33,,,
2023-01-19,6.15,,,
2023-01-26,6.13,,,
2023-02-01,,293.494,390.904,1399.0
2023-02-02,6.09,,,
2023-02-09,6.12,,,
2023-02-16,6.32,,,
2023-02-23,6.5,,,
2023-03-01,,297.412,392.787,1377.0
2023-03-02,6.65,,,
2023-03-09,6.73,,,
2023-03-16,6.6,,,
2023-03-23,6.42,,,
2023-03-30,6.32,,,
2023-04-01,,301.519,395.024,1354.0
2023-04-06,6.28,,,
2023-04-13,6.27,,,
2023-04-20,6.39,,,
2023-04-27,6.43,,,
2023-05-01,,305.382,397.025,1584.0
2023-05-04,6.39,,,
2023-05-11,6.35,,,
2023-05-18,6.39,,,
2023-05-25,6.57,,,
2023-06-01,6.79,308.341,398.949,1421.0
2023-06-08,6.71,,,
2023-06-15,6.69,,,
2023-06-22,6.67,,,
2023-06-29,6.71,,,
2023-07-01,,310.265,400.741,1460.0
2023-07-06,6.81,,,
2023-07-13,6.96,,,
2023-07-20,6.78,,,
2023-07-27,6.81,,,
2023-08-01,,311.628,402.58,1317.0
2023-08-03,6.9,,,
2023-08-10,6.96,,,
2023-08-17,7.09,,,
2023-08-24,7.23,,,
2023-08-31,7.18,,,
2023-09-01,,312.482,404.538,1371.0
2023-09-07,7.12,,,
2023-09-14,7.18,,,
2023-09-21,7.19,,,
2023-09-28,7.31,,,
2023-10-01,,312.829,406.532,1368.0
2023-10-05,7.49,,,
2023-10-12,7.57,,,
2023-10-19,7.63,,,
2023-10-26,7.79,,,
2023-11-01,,312.067,408.511,1514.0
2023-11-02,7.76,,,
2023-11-09,7.5,,,
2023-11-16,7.44,,,
2023-11-22,7.29,,,
2023-11-30,7.22,,,
2023-12-01,,310.888,410.156,1521.0
2023-12-07,7.03,,,
2023-12-14,6.95,,,
2023-12-21,6.67,,,
2023-12-28,6.61,,,
2024-01-01,,310.759,411.6,1381.0
2024-01-04,6.62,,,
2024-01-11,6.66,,,
2024-01-18,6.6,,,
2024-01-25,6.69,,,
2024-02-01,6.63,312.682,413.427,1552.0
2024-02-08,6.64,,,
2024-02-15,6.77,,,
2024-02-22,6.9,,,
2024-02-29,6.94,,,
2024-03-01,,316.863,415.08,1312.0
2024-03-07,6.88,,,
2024-03-14,6.74,,,
2024-03-21,6.87,,,
2024-03-28,6.79,,,
2024-04-01,,320.789,416.49,1385.0
2024-04-04,6.82,,,
2024-04-11,6.88,,,
2024-04-18,7.1,,,
2024-04-25,7.17,,,
2024-05-01,,323.727,418.1,1316.0
2024-05-02,7.22,,,
2024-05-09,7.09,,,
2024-05-16,7.02,,,
2024-05-23,6.94,,,
2024-05-30,7.03,,,
2024-06-01,,325.285,419.223,1327.0
2024-06-06,6.99,,,
2024-06-13,6.95,,,
2024-06-20,6.87,,,
2024-06-27,6.86,,,
2024-07-01,,325.602,421.138,1265.0
2024-07-03,6.95,,,
2024-07-11,6.89,,,
2024-07-18,6.77,,,
2024-07-25,6.78,,,
2024-08-01,6.73,325.047,422.556,1391.0
2024-08-08,6.47,,,
2024-08-15,6.49,,,
2024-08-22,6.46,,,
2024-08-29,6.35,,,
2024-09-01,,324.666,423.858,1357.0
2024-09-05,6.35,,,
2024-09-12,6.2,,,
2024-09-19,6.09,,,
2024-09-26,6.08,,,
2024-10-01,,323.981,425.235,1352.0
2024-10-03,6.12,,,
2024-10-10,6.32,,,
2024-10-17,6.44,,,
2024-10-24,6.54,,,
2024-10-31,6.72,,,
2024-11-01,,323.697,426.342,1295.0
2024-11-07,6.79,,,
2024-11-14,6.78,,,
2024-11-21,6.84,,,
2024-11-27,6.81,,,
2024-12-01,,323.315,427.68,1514.0
2024-12-05,6.69,,,
2024-12-12,6.6,,,
2024-12-19,6.72,,,
2024-12-26,6.85,,,
