objectid,fmr_code,fmr_areaname,fmr_0bdr,fmr_1bdr,fmr_2bdr,fmr_3bdr,fmr_4bdr,shape__area,shape__length
211,METRO24140M24140,"Goldsboro, NC MSA",942,948,1244,1496,2021,2176938688.3125,216953.81567277753
212,METRO24220M24220,"Grand Forks, ND-MN MSA",863,868,1089,1515,1827,19744917812.19922,839308.3367706048
213,METRO24260N31079,"Hall County, NE HUD Metro FMR Area",867,978,1215,1530,2005,2503463856.1757812,200250.43731503256
214,METRO24260N31093,"Howard County, NE HUD Metro FMR Area",752,910,1049,1258,1389,2637274568.7773438,205282.2215643314
215,METRO24260N31121,"Merrick County, NE HUD Metro FMR Area",689,732,961,1323,1612,2272648547.1367188,313056.02472223435
216,METRO24300M24300,"Grand Junction, CO MSA",881,986,1249,1737,2095,14355754249.167969,614895.6496675421
217,METRO24340M24340,"Grand Rapids-Wyoming, MI HUD Metro FMR Area",1232,1278,1531,1980,2189,4228598637.0625,265682.2979131346
218,METRO24340M26067,"Ionia County, MI HUD Metro FMR Area",834,921,1209,1481,1931,2805068219.234375,211618.84645572794
219,METRO24340M26100,"Holland-Grand Haven, MI HUD Metro FMR Area",1047,1333,1519,1930,2256,2789820080.5234375,235620.92900012762
220,METRO24340N26015,"Barry County, MI HUD Metro FMR Area",1010,1017,1334,1735,2013,2759422360.8164062,210254.4925654569
221,METRO24340N26117,"Montcalm County, MI HUD Metro FMR Area",829,1016,1203,1473,1593,3527179628.1015625,268246.99672277324
222,METRO24420M24420,"Grants Pass, OR MSA",940,1039,1363,1896,2014,7789629398.3125,448834.36829371983
223,METRO24500M24500,"Great Falls, MT MSA",960,979,1284,1786,2035,15266840223.234375,744068.6622456948
224,METRO24540M24540,"Greeley, CO MSA",1171,1238,1563,2174,2590,18041242612.277344,641071.6138418833
225,METRO24580M24580,"Green Bay, WI HUD Metro FMR Area",867,931,1164,1545,1618,4479505493.7890625,416666.6824184629
226,METRO24580N55083,"Oconto County, WI HUD Metro FMR Area",723,793,973,1272,1288,5268760697.425781,437440.54597781727
227,METRO24660M24660,"Greensboro-High Point, NC HUD Metro FMR Area",1159,1213,1330,1703,1960,5723058587.339844,316136.4300996084
228,METRO24660N37157,"Rockingham County, NC HUD Metro FMR Area",717,793,1040,1286,1463,2294129465.4921875,194137.8092526646
229,METRO24780M24780,"Greenville, NC MSA",891,896,1095,1465,1837,2573300636.5585938,281374.04145093646
230,METRO24860M11340,"Anderson, SC HUD Metro FMR Area",1022,1035,1173,1519,1849,2890341939.34375,264110.02184883045
231,METRO24860M24860,"Greenville-Mauldin-Easley, SC HUD Metro FMR Area",1166,1221,1339,1612,1943,5048398134.472656,480123.9334595847
232,METRO24860N45059,"Laurens County, SC HUD Metro FMR Area",863,869,1133,1358,1625,2762419422.65625,275626.7142186518
233,METRO25020M25020,"Guayama, PR MSA",414,418,475,637,639,367229611.6230469,149039.17251775734
234,METRO25060M25060,"Gulfport-Biloxi, MS HUD Metro FMR Area",786,923,1140,1471,1612,3749326118.4140625,500198.5586472644
235,METRO25060M28131,"Stone County, MS HUD Metro FMR Area",734,739,969,1162,1432,1577634847.8828125,169651.79948220178
236,METRO25060M37700,"Pascagoula, MS HUD Metro FMR Area",929,951,1067,1448,1762,2610490822.3085938,427784.5033901369
237,METRO25180M54065,"Morgan County, WV HUD Metro FMR Area",663,732,961,1221,1612,1001835507.7890625,189029.58265175426
238,METRO25180MM0877,"Martinsburg, WV HUD Metro FMR Area",850,971,1233,1702,1947,1399140665.7460938,202379.35445445922
239,METRO25180MM3180,"Hagerstown, MD HUD Metro FMR Area",869,961,1261,1700,1901,2041716558.6132812,377154.28178515565
240,METRO25220M25220,"Hammond, LA MSA",831,848,1099,1372,1455,2961561293.3125,302631.8593778479
241,METRO25260M25260,"Hanford-Corcoran, CA MSA",1150,1157,1469,2043,2451,5531178901.957031,354594.9118111834
242,METRO25420M25420,"Harrisburg-Carlisle, PA MSA",1058,1212,1493,1920,1977,7423491937.1875,470794.0147495726
243,METRO25500M25500,"Harrisonburg, VA MSA",1050,1057,1322,1801,2125,3691157191.4570312,289391.39211118646
244,METRO25540M15350,"Clinton town, CT Exception Area",1286,1477,1865,2236,2539,75684773.359375,48679.97456732429
245,METRO25540M19130,"Deep River town, CT Exception Area",1286,1477,1865,2236,2539,64298794.6484375,41937.50454857006
246,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT MSA",1286,1477,1865,2236,2537,6412892886.4765625,542535.1753810452
247,METRO25540M26270,"Essex town, CT Exception Area",1286,1477,1865,2236,2539,48031013.88671875,52892.27253466814
248,METRO25540M40710,"Killingworth town, CT Exception Area",1286,1477,1865,2236,2539,164746942.59765625,66567.11965994997
249,METRO25540M57320,"Old Saybrook town, CT Exception Area",1286,1477,1865,2236,2539,70452917.5546875,61844.07853727738
250,METRO25540M81680,"Westbrook town, CT Exception Area",1286,1477,1865,2236,2539,74336401.4609375,43167.51991965213
251,METRO25620M25620,"Hattiesburg, MS MSA",766,888,1047,1348,1386,5752710166.03125,329439.8509048162
252,METRO25740N30007,"Broadwater County, MT HUD Metro FMR Area",1240,1595,1748,2096,2856,6724233496.8671875,486634.3869806937
253,METRO25740N30043,"Jefferson County, MT HUD Metro FMR Area",968,1070,1404,1946,1954,8952529214.273438,504388.8640940959
254,METRO25740N30049,"Lewis and Clark County, MT HUD Metro FMR Area",1136,1319,1647,2250,2496,19557448548.5625,951914.530785097
255,METRO25860M25860,"Hickory-Lenoir-Morganton, NC MSA",858,908,1095,1372,1660,6585435777.4453125,431469.52169238223
256,METRO25940N45013,"Beaufort County, SC HUD Metro FMR Area",1582,1657,1816,2177,2720,2262238253.8847656,1421465.5568583002
257,METRO25940N45053,"Jasper County, SC HUD Metro FMR Area",1343,1407,1542,1849,2246,2434520086.658203,381051.4053902028
258,METRO25980M25980,"Hinesville, GA HUD Metro FMR Area",1225,1283,1406,1868,2359,1929864853.3027344,359043.4859313663
259,METRO25980N13183,"Long County, GA HUD Metro FMR Area",987,1034,1133,1409,1901,1450843286.6464844,216838.3798534963
260,METRO26140M26140,"Homosassa Springs, FL MSA",981,988,1225,1704,2016,2139903772.7148438,1105425.3975439484
261,METRO26300M26300,"Hot Springs, AR MSA",829,834,1090,1393,1670,2813031994.4882812,241934.75049179274
262,METRO26380M26380,"Houma-Bayou Cane-Thibodaux, LA MSA",760,904,1102,1330,1459,9063357381.02539,3514036.421294194
263,METRO26420M26420,"Houston-The Woodlands-Sugar Land, TX HUD Metro FMR Area",1280,1323,1573,2116,2639,22407796693.4375,1676729.1627030997
264,METRO26420MM1145,"Brazoria County, TX HUD Metro FMR Area",1080,1240,1359,1839,2280,4915605281.035156,542838.1419309396
265,METRO26420N48015,"Austin County, TX HUD Metro FMR Area",885,891,1095,1523,1837,2269234310.2578125,298574.8664866135
266,METRO26420N48407,"San Jacinto County, TX HUD Metro FMR Area",935,1048,1149,1536,1928,2201306570.9023438,263414.4103816456
267,METRO26580M21043,"Carter County, KY HUD Metro FMR Area",698,703,866,1204,1254,1736694921.5390625,255672.96640282078
268,METRO26580M26580,"Huntington-Ashland, WV-KY-OH HUD Metro FMR Area",848,853,973,1249,1410,7493531403.1484375,620414.1086396758
269,METRO26580M54079,"Putnam County, WV HUD Metro FMR Area",798,803,1054,1461,1575,1484356685.8359375,182716.91390583018
270,METRO26580N21127,"Lawrence County, KY HUD Metro FMR Area",715,720,926,1110,1341,1758180616.8242188,255799.39528741455
271,METRO26620M26620,"Huntsville, AL MSA",1030,1136,1310,1690,2109,5464636129.707031,383992.2205571888
272,METRO26820M26820,"Idaho Falls, ID HUD Metro FMR Area",1034,1095,1305,1815,2189,14825750588.394531,687763.4903742496
273,METRO26820N16023,"Butte County, ID HUD Metro FMR Area",1020,1094,1304,1814,2188,11104615774.226562,576018.4537826239
274,METRO26900M11300,"Anderson, IN HUD Metro FMR Area",898,919,1206,1594,1597,2010747324.3515625,190270.90402466274
275,METRO26900M26900,"Indianapolis-Carmel, IN HUD Metro FMR Area",1118,1267,1473,1907,2338,14918575178.234375,602086.4308203192
276,METRO26900N18159,"Tipton County, IN HUD Metro FMR Area",840,845,1109,1330,1725,1161910826.9335938,139657.94320701386
277,METRO26980MM3500,"Iowa City, IA HUD Metro FMR Area",880,961,1141,1587,1914,2894485650.5976562,238441.09340641723
278,METRO26980N19183,"Washington County, IA HUD Metro FMR Area",728,733,962,1191,1274,2624935643.28125,210172.7056445556
279,METRO27060M27060,"Ithaca, NY MSA",1263,1466,1753,2102,2624,2339926848.2851562,238162.24363767318
280,METRO27100M27100,"Jackson, MI MSA",838,946,1165,1534,1626,3421993772.7539062,236026.66823009864
281,METRO27140M27140,"Jackson, MS HUD Metro FMR Area",1091,1097,1288,1544,1705,11640550696.546875,648663.5766223599
282,METRO27140M28051,"Holmes County, MS HUD Metro FMR Area",733,768,842,1111,1115,2831122119.515625,304023.1948690549
283,METRO27140N28123,"Scott County, MS HUD Metro FMR Area",790,795,952,1141,1260,2224294255.5195312,205251.69978186378
284,METRO27140N28127,"Simpson County, MS HUD Metro FMR Area",592,762,858,1193,1439,2128753605.390625,225997.55156163205
285,METRO27140N28163,"Yazoo County, MS HUD Metro FMR Area",745,750,984,1209,1303,3432379709.6328125,363601.00363422657
286,METRO27180M27180,"Jackson, TN HUD Metro FMR Area",869,960,1260,1677,1758,3311385441.4726562,319141.8756903587
287,METRO27180M47053,"Gibson County, TN HUD Metro FMR Area",645,706,927,1289,1555,2393533434.390625,248886.50517360412
288,METRO27180N47033,"Crockett County, TN HUD Metro FMR Area",753,842,1083,1389,1615,1048856140.453125,194918.4370542689
289,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",1355,1382,1658,2043,2561,9809049350.623047,880480.3573197657
290,METRO27260N12003,"Baker County, FL HUD Metro FMR Area",903,922,1103,1512,1708,2054389154.5117188,218776.78833801334
291,METRO27340M27340,"Jacksonville, NC MSA",929,935,1173,1631,1968,2936757170.28125,948707.2163969389
292,METRO27500M27500,"Janesville-Beloit, WI MSA",900,955,1246,1596,1650,3480946261.8320312,236930.74037026038
293,METRO27620M27620,"Jefferson City, MO HUD Metro FMR Area",689,694,910,1266,1379,4284918570.3359375,329224.35914203094
294,METRO27620N29027,"Callaway County, MO HUD Metro FMR Area",789,794,1042,1249,1472,3622345019.6445312,283614.74730781146
