RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28
394458,23,"Charlotte, NC",msa,NC,990.2940210060716,995.8371425692792,1000.7465658855735,1011.1687307397538,1020.7226436289916,1028.8372964044393,1034.044201436239,1038.0874588585025,1039.5605566206243,1039.3466948606736,1039.4925118038277,1041.308217574542,1045.2287998482896,1052.2878717979715,1059.3155040767033,1065.52072835005,1070.1900514093084,1075.4982091033426,1082.0736290555983,1086.1757332164757,1087.991102663338,1090.0800086924792,1088.3422392220707,1086.9895974668457,1089.8830741913232,1099.284181857351,1113.537063176611,1126.0061634668773,1136.511057296554,1144.3205635296274,1148.1682797106978,1148.909011018666,1149.7670926444869,1145.9124219606065,1148.1431849749165,1149.0802540674074,1153.2438753239308,1160.3092762721024,1166.6375319620456,1177.3506165372248,1183.5548364542997,1193.000790644536,1197.93909181728,1200.1028254065793,1195.5344078592195,1195.208586688651,1198.6374769606148,1206.2410281804468,1213.7241162028915,1219.782032122498,1228.8629360791267,1236.8776044364486,1245.052397560965,1251.579820698857,1256.790840211091,1258.4549007913697,1261.6788236390814,1260.8805882941629,1260.5752083838302,1258.319254598943,1261.868387612651,1265.2570544227374,1276.517866473241,1275.7452430004705,1279.5031715174794,1279.6286977387313,1291.534117549012,1300.849326169179,1306.5550096085622,1310.2339859344552,1314.28976541375,1318.6603793715974,1325.0925717539164,1331.8180203224078,1343.1822526253757,1362.2282169521384,1388.758666403763,1419.3775559447663,1449.7262937362195,1478.4104125121028,1500.9565914692876,1515.7509286019158,1524.042802684695,1533.893704560427,1541.176078887232,1549.3250191625652,1558.592880543815,1575.713795938544,1601.1348885691375,1629.6888583022558,1656.3482698019684,1665.9646497671645,1662.5130695830228,1654.5043904220497,1650.3224642769208,1649.270843515219,1649.84311876773,1653.6607463065764,1664.4680373268882,1672.903873701955,1685.3280266816523,1692.7736697906378,1700.153541916588,1701.807227552269,1696.6783883975904,1689.27954381197,1677.653103257155,1674.9696686393308,1674.0731554198642,1679.704754834599,1682.0013926799734,1689.6664824899633,1697.925659181865,1708.6541806437883,1714.4893092798943,1715.8773333677036,1712.1091558988498,1703.1838680857911,1697.3711831927335,1693.338516517472,1697.5494580426907,1706.7618753566358,1717.1825054394683,1726.899572683059,1733.3349100849332,1738.9263549367215,1739.929469146639,1738.030926727635,1733.61261939381,1726.7402776201186,1719.2122364639254,1711.5705756025443,1710.724356247788,1715.7586937668027
395055,24,"San Antonio, TX",msa,TX,1012.0231498231066,1015.8118255636311,1021.8568277839804,1030.0988330565806,1039.0427500073931,1046.0868993522183,1047.6104608945184,1045.8885987532722,1043.9481352987154,1047.4404474217265,1049.3153328641026,1051.8656510265969,1051.730154509719,1055.2033951783117,1061.1436405926063,1069.0783698144407,1075.1459975862265,1080.322347917225,1082.334792328242,1084.558542989534,1085.0293052825468,1084.3495689813149,1086.0261374188651,1086.8303976253032,1091.511291767331,1095.3879557470614,1102.1888270286695,1109.1372815057523,1115.3108767440142,1122.357304940768,1125.152172284631,1123.9757339773423,1121.4264943430703,1118.4665353202156,1116.5978161187604,1115.7957286893284,1117.2422628732554,1123.9351220095198,1130.2853589074807,1135.556851941977,1138.5149963988847,1142.9024173535447,1148.268410589959,1152.85394411317,1153.3508101235316,1153.424521293477,1151.2944457402086,1149.9887104302543,1149.7762763331193,1153.0968878004503,1159.7912740388667,1167.5240763602485,1174.0211525786017,1179.527009303558,1183.320221349054,1188.0370841429813,1188.919011488077,1188.662271196591,1183.927001666978,1183.9088936374053,1183.4498140521382,1190.416686492973,1194.4188111097476,1196.0308780200685,1193.3251387059588,1194.0775056327516,1201.740643010232,1207.510049356989,1210.6872497706709,1209.6389798307252,1210.7079633039111,1214.5482235729269,1218.250960564644,1223.548608190342,1231.8223240366965,1246.1716897547824,1264.673832330977,1286.2025939337825,1310.994043205763,1336.014780677399,1355.653107156144,1365.4180892399747,1370.3472460414378,1376.069619715989,1382.7081124373815,1394.4002327626545,1406.695451649189,1419.5404971530222,1430.263632063159,1439.4592023242112,1452.437905105248,1457.240913926685,1453.2788344005853,1441.2218853157297,1432.6380963274548,1429.6042072242394,1433.9149706201663,1437.356249648233,1448.3348129116407,1451.7064225805486,1456.8937836295593,1452.6265264204114,1450.9700518678717,1447.5958024171705,1442.8619971716437,1435.0178122287589,1428.6093406650998,1423.1167117330788,1422.9208899213995,1423.6931395600986,1429.4114957914517,1435.644103654876,1440.3096323080642,1442.6762359127915,1443.325037123268,1443.1679782848355,1436.485396163386,1421.8838356548704,1408.8218908896577,1402.3408185001856,1406.3206434163787,1414.370807438477,1423.3949223756845,1428.1991214229129,1431.15999666194,1430.8646117882768,1433.035094999943,1427.66564779519,1419.858216454583,1408.3816387383126,1399.353036934259,1390.009048677073,1389.4664824656832,1391.7987271825916
394998,25,"Portland, OR",msa,OR,1105.5051849871013,1113.9272000803294,1130.9330230282094,1147.4085504721522,1162.658312923565,1176.8845641999872,1194.9199542701183,1208.0962268286785,1219.323521749121,1221.8428467588658,1220.4314243604383,1217.3738340758437,1219.6624175298612,1228.125858698642,1241.7072623276072,1253.7812558327212,1267.25883990412,1277.8921236005583,1283.7546289305894,1285.842027367068,1284.8776500974695,1281.6796334602498,1276.9022064929163,1274.8718781149682,1280.0690968814577,1290.8639155819617,1307.1199373912336,1321.904446295336,1332.785317553,1338.754812432751,1342.515249671705,1346.1758990134228,1343.514804783914,1336.2756925474175,1329.5931699431092,1325.3353600183618,1325.6010356929987,1327.9250161698983,1336.8549654113003,1348.4984714108425,1362.0270955395015,1370.852522993553,1377.2190642805158,1381.0321732378084,1379.5247945989113,1375.9127378689773,1372.2759148193102,1372.412662534292,1376.7921009978074,1379.5691083630877,1389.0615858484327,1397.1225657248892,1410.953110058959,1417.581287460588,1427.945047219938,1430.207837597587,1432.3507323824454,1426.6390686235573,1424.0101933412934,1420.7603494666212,1422.149020085582,1426.2338371155156,1435.237961087122,1435.0641903372266,1434.4766688831876,1436.559116206048,1449.9647278677658,1460.1700124973845,1463.688685173841,1457.27955556985,1451.1787188191588,1443.5631080617204,1449.1820464836849,1457.3355593094266,1472.4410620996264,1492.5814593254606,1518.7258812787318,1548.513462839553,1572.1351365978962,1594.4454315795529,1611.5718535616077,1619.77423249221,1620.4906904148247,1618.4752665437393,1621.060158841327,1630.5367137830754,1644.6037671156985,1664.3136471040054,1687.2398027608708,1712.5858087643603,1733.218598223648,1742.7639057265665,1743.5098505591927,1733.605921616013,1723.4341148143706,1717.777052159811,1718.595850226958,1726.3033564981465,1736.2285022313897,1740.7317715233055,1742.8645822610292,1737.9994602676684,1739.6530153116123,1737.5433253209098,1733.6684588900018,1723.3116090016713,1710.2259007431624,1701.2881891214156,1702.2299467195655,1712.8281978696148,1727.854809613034,1744.3279556097211,1760.6542665552422,1775.5570537701255,1785.3556265423858,1787.0294904547284,1786.5214800331669,1778.8746216729896,1770.4710637145822,1758.828853568203,1756.6015250718197,1762.3621039346178,1772.2259494051536,1784.220365469264,1794.3567969047494,1805.5812709681952,1812.159871763006,1813.999847432908,1809.2704205354364,1799.759959628578,1787.562133216772,1776.907457382473,1773.7994928201156,1778.7336113477284
395045,26,"Sacramento, CA",msa,CA,1193.8260952355106,1202.7963998748558,1213.736042104019,1223.2012544262714,1233.565193823474,1244.4650836885128,1252.479374789697,1264.2063726683696,1272.952509867422,1278.7122518091114,1279.7359435129492,1280.9997699894825,1288.9591352876942,1295.8468026592614,1303.5518565593252,1316.1769103635668,1331.9170030447451,1349.345367554255,1358.1559183654758,1367.0592172031884,1365.1235118488084,1366.5961636873271,1365.4861923131866,1374.0646024408677,1383.147278752639,1401.274348712872,1420.7180516767912,1440.5281036346576,1456.546780991315,1469.617988149049,1480.6039866299182,1492.0488338776015,1496.942964434304,1502.1245014618337,1497.5034686798758,1500.0629647620367,1503.8674528732183,1507.224160380831,1519.7971202686874,1534.0132393342994,1555.5135624870193,1567.380157170299,1574.918885089007,1582.3573905252183,1582.0516346074078,1582.2905990372983,1577.0355865772185,1580.3873331237046,1582.904636904705,1594.5106426176562,1607.280069177725,1624.7374150820528,1635.542798364066,1647.0436923288885,1652.977909935636,1659.8088448744852,1659.5809931414192,1659.7827270359803,1653.9531560350151,1652.122774278757,1654.6480074155638,1664.9288801508624,1676.6326766965033,1680.4673618661654,1680.8358252412045,1690.8218343573228,1707.1543653872643,1730.057100468301,1746.423661419855,1760.1432702556228,1770.5957957626076,1776.1795969405855,1788.6689626687362,1801.900399940999,1818.1656727719296,1836.6258051280972,1870.604885794476,1905.7264712880951,1941.9652049559488,1965.9772840753176,1985.290905130964,1995.111296739648,2001.6044851276963,2001.1966383642095,2005.759952442516,2011.2780202216577,2028.5644975277503,2046.827188988837,2062.546864103926,2079.1593405700633,2091.9905904902935,2102.1161309138133,2099.2128435263267,2091.7378551960146,2072.6929073356714,2057.1713317443264,2051.366559022279,2056.717559222831,2074.317265941522,2083.756851283468,2096.1953909344816,2104.13198874681,2112.219387144499,2116.5430074070177,2118.970877414617,2114.8670899114218,2109.189165973653,2103.053356714344,2105.821260112853,2114.4623198249456,2128.3509039884943,2144.272725714726,2157.751005294296,2167.8879740881657,2175.5106191925065,2183.551843380196,2183.0826841443686,2179.9499595986968,2176.6540068493496,2166.25848048502,2166.0822788025785,2165.983572116895,2183.712199483173,2196.2792658082485,2209.792981155291,2219.096177503538,2224.5884512806,2230.527076795516,2228.1450021425285,2225.2802014322347,2215.7599131855045,2211.381103059255,2208.070998730911,2211.482327441078
394982,27,"Pittsburgh, PA",msa,PA,945.3532347523012,952.1546329432005,955.9371105382628,961.299447415289,969.6676307344404,971.8898045260664,973.55785441128,969.377694037734,965.2574440822822,960.273480839581,961.3337603888368,962.517535275003,972.5651367001308,977.5927178453516,988.7301313206342,992.0775677899225,993.5752493868438,990.474003984918,988.4413717106996,982.6535777627556,979.2773334701448,970.155113410146,968.3092761241852,966.2544416394824,973.7156509969284,985.3194870040252,998.0730017583758,1005.612493940779,1008.4565932028088,1009.7743394039423,1009.6548215207578,1009.7676848845554,1005.0024556330924,1002.443876714583,1001.8503369702102,1003.9334793200026,1008.7800094474028,1016.6188644041896,1027.694531873848,1035.3777053591473,1039.9406947144655,1041.4661038005022,1044.1829250394835,1039.5686142324146,1037.0310600100609,1034.7247185186886,1040.4392725767868,1047.200861235467,1052.3825389654717,1059.4758219212504,1065.629913916633,1071.8750226588863,1074.1681126376634,1075.7047620664196,1075.5070775199283,1077.1308478498393,1078.8030099516116,1083.9177500221206,1086.7777073658374,1090.767892343791,1095.5588991609209,1102.234788078391,1109.5722657752103,1110.3997889544553,1111.527551815878,1111.2922545870854,1115.4920719141203,1116.4675434956876,1118.310198659761,1119.0666472303174,1118.4321856608117,1118.0205279132863,1120.1682125995735,1128.046000425488,1136.733420601778,1146.7420404596323,1157.768498020369,1171.2259874796375,1182.9699630103346,1194.3663832943291,1200.8668023475154,1204.476592554419,1208.3122569368522,1207.8961721847218,1214.903525855745,1219.0367327206325,1230.9227547425523,1239.4580347378296,1251.1240062447057,1263.6692449318211,1276.132748160047,1287.3570206288427,1286.1039027618465,1282.787922899986,1273.548170264027,1275.480970431975,1278.1092092881893,1287.4087844404132,1293.2427991340658,1300.5291482133096,1308.7774573031224,1317.111536749168,1321.978928300092,1324.58219676854,1324.7345504804437,1325.4883919693991,1325.0072689304973,1328.8795336559192,1335.466381868252,1342.442208468129,1345.9492149295463,1349.8259290397457,1358.8185006673486,1370.0540320038565,1377.3643519858392,1383.1813341165953,1384.6133124908629,1386.114708030505,1382.0973273069403,1382.9042444645963,1386.739423115048,1392.587534083619,1400.280703666111,1409.7273469978377,1419.288265630826,1432.2541977750295,1439.9098822566182,1440.823881752221,1440.3511062959644,1437.119760802068,1440.79475987035,1438.30483400935,1442.8421947894954,1446.134227631463
394466,28,"Cincinnati, OH",msa,OH,860.5919357782217,861.5494550655312,867.385071467207,874.0317603329622,879.3260537258145,882.082177781765,886.7288386551993,889.9424477170418,892.3307514226848,890.3692887150047,895.4630614980632,896.5927413631052,900.380802066891,894.8279695458972,899.4136410461886,902.841975133744,913.22451178853,913.4033723048044,916.3827098667318,915.260257304378,916.897020705091,915.9016887200436,918.4726896806726,921.9976771208774,928.695379792522,932.9938921512744,938.0288385601134,945.520891601099,953.7345435925394,959.7621571947792,962.5013658249272,965.0118295701036,963.5349912995111,963.4878149783176,961.1743106599458,965.1889507981864,966.7503298361032,972.7356040315364,981.2218988971284,992.1143022737264,998.668708661726,1000.4393530792732,1002.2731726221374,1002.6117855588373,1006.0618778202294,1009.87817453098,1013.6953899927834,1018.619832259164,1018.981871329961,1024.1830085466934,1029.416988082686,1039.3291982088217,1048.1125970825644,1052.934414874329,1057.3672622332408,1058.5691843271768,1058.787574326409,1057.67585719226,1062.3245051497008,1064.6201149878182,1070.9975359135185,1077.8182496120328,1089.410311944351,1094.841366660774,1098.5370953620536,1103.0724737182263,1110.580237756537,1113.9242345760006,1117.8158033420282,1116.1209965827652,1118.401908379486,1119.4897190266165,1128.4030836568031,1133.3520828444166,1142.5407990346027,1153.831027963411,1168.1478958722876,1182.8400966598497,1194.8612332389428,1210.601741691308,1222.0067393394022,1227.0379290710605,1231.3175404321978,1233.8436320731369,1242.51649179292,1251.3934183572087,1266.452277633461,1283.9483981186995,1298.7535238513217,1315.8668915659446,1331.7528990551186,1342.837977641518,1344.2245463513364,1342.921980386667,1341.1450384920108,1343.6851888787637,1346.5676319011689,1355.773199357712,1367.247918244211,1379.432034176835,1391.9374292888986,1399.823916229728,1406.631010259253,1410.8307081817652,1411.9919526477408,1416.183010579036,1413.7703918342693,1418.9399592177328,1421.6361013231983,1429.6163535140022,1438.1590186391086,1446.4215217881508,1455.78552410012,1465.0442841410277,1472.036775525431,1480.6155756024073,1482.8574699627666,1485.147512444811,1487.1991204878452,1483.9398761788614,1484.4830934954907,1483.305745893792,1494.2127909189444,1503.073921860902,1516.3597304295852,1524.0562365092644,1531.1741333942805,1534.903360602114,1534.3708118626034,1531.0174499074308,1523.3690932425068,1519.9695219955868,1525.511873557646,1535.7346891668803
394355,29,"Austin, TX",msa,TX,1145.7098952830215,1156.3241845604678,1164.2668176765094,1171.1975136071735,1181.6656342825804,1189.7360497649595,1196.2749224115414,1200.514190917016,1200.2526202324186,1197.0473385645244,1194.139206190861,1197.4869474846903,1202.5825462994142,1205.9731613143902,1209.367145036498,1218.4390904714685,1227.510631622841,1235.6103527091373,1238.6429299805225,1238.3822845456434,1233.766807892568,1225.6379938499692,1220.9191297122204,1221.918670028077,1227.4552483244918,1237.556076225828,1250.4399068787725,1260.862804044306,1266.2850170372017,1270.104762096193,1270.1952010524842,1267.3870489147344,1260.8032159763563,1254.2453882654745,1253.795793368757,1253.7197842961405,1255.1660768583845,1263.357181241258,1270.199894407353,1281.3392850551895,1286.426813606358,1296.729802258219,1304.4374864198708,1308.5173977212196,1307.329921003685,1306.3670654255156,1309.9613810327317,1311.269784515426,1313.6029881371194,1320.1450752179796,1332.4774606181477,1343.3697528218077,1349.8485197112366,1355.4347077023244,1363.2077520773255,1369.3382582079505,1369.9389084740596,1368.0442057863672,1365.0402142956548,1366.02028148536,1370.3852562172876,1376.8775663520385,1386.0206006001058,1383.3608147560149,1375.4279796489218,1368.7685475099297,1371.991223367452,1374.618870087777,1367.9009819462617,1360.438905385339,1357.0700900161587,1359.7999765540978,1370.4051064576895,1385.891380688431,1407.4654946309715,1434.4911764868757,1471.2400537296198,1516.076009486194,1566.05904389517,1612.163262870203,1641.70594124982,1651.720582177623,1648.605722138662,1652.8438935184192,1656.2273463068352,1673.039489468132,1688.7636610304828,1713.4298598148591,1734.8220413423787,1758.3084173894342,1779.125302618015,1781.6716606912246,1772.188568139969,1750.2685077646115,1728.9818216993367,1715.5210718809556,1712.0304644369085,1716.0256861157266,1728.6522693592344,1732.4356650290567,1738.5869693374595,1734.3550874335476,1732.9524555319924,1722.2539375159772,1704.656001555603,1687.3912240366697,1674.040781867803,1667.0796074009356,1660.780081020112,1658.3344439813368,1658.7518354663555,1664.7328685863663,1671.6163373222132,1673.9109899150048,1669.3640973805166,1655.4488851997585,1640.99167736484,1622.838659556314,1609.035397148453,1599.3725189594318,1597.4561241852011,1601.1255702510596,1608.2910422987336,1615.5734048063046,1623.7035985972118,1622.9504665907778,1613.7525408627016,1598.394223562468,1584.9245734838817,1574.17728319032,1563.2598914159605,1556.1408720423958,1555.7430778857438,1563.2481090115027
394775,30,"Las Vegas, NV",msa,NV,965.346939316444,970.519896044484,976.9048929383644,983.020017647002,990.2042408893652,996.590110176449,1002.687838677519,1005.486011896489,1009.062630758574,1009.031074724906,1009.853353963896,1008.1950838311394,1009.859314549384,1012.4595434824624,1016.6938167817356,1023.3697077710314,1030.3065499939044,1039.8766528785231,1043.3349496986382,1047.0567660989568,1047.30729871196,1049.2854922663496,1049.0342076320053,1048.5973313038387,1052.159270915425,1059.7887821565123,1071.1897430370263,1080.5104082835096,1089.1768694375633,1097.2795801827704,1104.9242789716027,1109.7983680622317,1113.1371335248537,1114.1059553813795,1115.6178595766885,1117.9397358980566,1122.8202920734852,1130.1965306831714,1140.356260969916,1153.3984352013806,1165.5276569062762,1174.2812794907643,1182.307780703755,1187.7434175023664,1193.065538065585,1194.6866268703388,1198.0872026196446,1199.843723543924,1204.8695315954235,1209.042452843338,1220.5405664231043,1231.8747740494346,1245.1978972407717,1253.4481777654755,1259.2658838910525,1263.8243781081576,1264.343983288629,1263.4579455333608,1261.9026923659162,1260.5497534990502,1263.2945969539128,1268.4845687025463,1275.968401381565,1271.509863465964,1269.1286653769223,1270.848797746875,1287.648128882158,1304.6942981288094,1322.3137632715566,1335.8801785186583,1343.6656483701668,1349.0417327708255,1359.6848115623495,1373.6070079522715,1390.2904870501686,1403.172979009343,1442.0090147743845,1490.8133991772268,1549.8136665598536,1593.245442894451,1628.7005579999077,1650.9560157736655,1659.950896591965,1660.1346656022026,1662.744842439791,1667.6188479109487,1678.6930905557322,1689.335079672556,1703.1246589545922,1715.4819353566504,1727.3080612121516,1719.7913116965933,1702.9352446403905,1678.6384871107914,1661.3304739966964,1649.317325822982,1647.999871428514,1655.158720927418,1670.1929248147028,1677.079298472584,1685.5302232530062,1685.8155654069078,1691.8577846910423,1689.797586055525,1686.441775901762,1681.9389267478962,1677.5771063141897,1676.5425907905471,1676.5071967753945,1679.216886219213,1690.0028442223772,1704.157247164393,1721.4736617928938,1731.076535696444,1732.4100178920223,1730.7875710988217,1725.2269288729542,1718.3134316954704,1711.0503173974498,1706.0089932990757,1711.9464399489789,1721.0685309632258,1731.8903210156968,1735.8205567766377,1738.974664228725,1740.2934067504652,1740.3890163707088,1738.9169209086467,1730.5371546843303,1724.8711238644084,1715.1085983898197,1712.6382974409555,1712.624479821884,1719.7542213393026
394735,31,"Kansas City, MO",msa,MO,851.2378990435388,854.9384183269808,863.0393968913291,867.0548921749183,871.9395644534719,875.1618943119374,879.8241961526996,882.8975203636202,882.5855468552312,880.8766785802195,879.9206882196103,879.5822362729658,883.8727331928525,886.8276819932705,892.4129872609,897.0910042144019,900.0466202438237,904.6451397654956,908.8370676557104,914.0680094380684,917.9487633094031,918.848549852854,918.0416860110372,916.8084860241596,916.071140169692,922.0068250152968,928.2629435978416,937.3339599667216,943.8477315165892,948.1227413408732,951.1971731172318,952.4023943785444,953.8705899967988,953.6027004140744,955.5618842776798,957.6824023655532,959.107020777136,961.304135599958,966.0534183353964,972.1905319731036,978.8062033129584,984.3571538142752,986.3999421096432,986.6668342752477,986.773147436896,986.5247407801552,986.5989638561068,986.3677443263834,990.3863403999025,996.3374870329052,1002.6923828254256,1010.797706842366,1017.7562863318484,1024.911028897011,1029.3562159876765,1029.1778737763852,1025.776580894261,1021.0112203319376,1019.8087814675848,1025.9067150661217,1030.704262954831,1038.1436563037978,1044.638205710687,1053.2495590594344,1059.665650928558,1066.0117291454878,1074.3035036117274,1079.95941604708,1085.8030517468903,1083.9567816160877,1083.7327264339272,1076.6676355983925,1080.9107127383352,1089.3098200492284,1101.8355694167929,1116.7057588406042,1131.6964500700326,1149.1555720824256,1162.5391336785951,1168.3692251523407,1172.7907856391205,1174.1829673483703,1178.814096616274,1185.5932056656138,1193.1739405958465,1202.9020857484795,1212.6807918443644,1227.8748959964655,1246.1872448932727,1263.4253967820332,1278.7786748789397,1286.7722750568917,1288.447744933682,1283.37345563752,1282.2092957854547,1283.6425794993509,1287.8390351626713,1291.229347582016,1301.5742437218732,1313.8492594684924,1328.378533200574,1338.0923104568556,1344.0118382496662,1346.0067225471278,1342.784732447749,1344.121237251278,1345.5181580542949,1352.6159770871295,1355.3546501412634,1361.625084038141,1369.554873188398,1379.514922553192,1392.423462487374,1403.5190009382832,1413.098351551307,1417.4488049005424,1416.139802322995,1412.8171693054064,1408.5581934254233,1409.1037078444149,1420.5659132241492,1430.1410670856487,1443.7005038552911,1451.1220606762056,1460.229493679382,1469.1193426990062,1474.450228586349,1481.2364496804998,1479.8645051697918,1477.1536852650136,1472.5535537647932,1472.4481623070694,1475.234120290697,1480.6952410608956
394492,32,"Columbus, OH",msa,OH,864.1371495246908,866.393675943083,867.4762842274756,868.3654956455961,878.8169918658425,885.5372181400788,895.4594101978441,895.47846161595,896.929695061722,906.382241088138,903.7597019222376,903.097140774454,899.9813882545662,903.5722334689324,908.431488140368,915.4025734490916,924.5168241592828,933.3159319597146,933.8361336237074,930.0205655514771,923.4379769587464,921.636258968425,926.9044813087162,930.3546646019244,936.1401757940832,943.2078634809524,954.1158184758312,962.6579146613376,965.7886098667408,968.7063279538625,970.0754874703124,972.2101134084068,976.205608962524,976.843272504996,979.285645446299,978.0943422697204,984.9863625601016,992.324060162846,1005.370526417162,1014.4654284613596,1022.6020353578118,1025.1365095810695,1027.2606599608262,1027.8290752639512,1028.1251789176663,1026.9981890133806,1025.4006798324226,1025.7582369202216,1032.2228428107132,1039.364118190398,1049.7952433114826,1056.7087564095784,1064.9782371106471,1066.9972016152606,1069.3203646321172,1068.8649231169727,1072.7282365153917,1072.0346071312968,1074.3963180222158,1073.4281679378105,1079.780238667014,1085.0654134466731,1097.2503783973614,1102.3481149121862,1108.1224137193558,1109.9171185654363,1117.4114619989853,1123.3556661552466,1126.31219801778,1132.68834206586,1135.760567226861,1129.9895320243709,1130.793875505,1134.6712094987745,1152.899320010058,1164.4500634300366,1186.0170631743624,1201.638787137182,1217.0841249902714,1224.831590480069,1232.8801017242222,1236.2082396039193,1239.3098202233357,1241.8855182962122,1245.8113382497384,1251.311680838308,1261.0866363361115,1277.6500091727123,1297.4490967071797,1320.6914060921442,1339.0651687010834,1347.180121954572,1345.801642533045,1334.134356674891,1323.2023499367504,1321.756420922787,1326.1537167752645,1333.4485054329775,1343.194480079654,1357.0887307136495,1375.2042794459137,1383.7254812366257,1391.5017140886653,1394.965727419176,1394.0513151151838,1390.693309254355,1388.538084627555,1388.1937951730042,1387.7908753825816,1392.7059581554838,1398.387507411942,1411.9233074318022,1423.299995185815,1439.7570346097452,1449.3240744545967,1455.915572706671,1456.5627729692458,1453.340719833804,1450.89607275269,1448.4809932798412,1454.2282892989228,1459.2025285633836,1472.28285785023,1480.5914334021554,1492.4053631218012,1498.3762212104166,1498.6877616630134,1497.2122770668177,1496.4427264085348,1499.3416570329198,1490.563004290085,1481.00007307347,1477.0465043900008,1484.2623704459393
